ts,game_id,game_name,igdb_id,viewers,channels
2026-09-20T01:04:35Z,509658,Just Chatting,,251287,4790
2026-09-20T01:04:35Z,18122,World of Warcraft,123,133823,1732
2026-09-20T01:04:35Z,32982,Grand Theft Auto V,1020,101205,2928
2026-09-20T01:04:35Z,743893402,WARDOGS,388285,82807,2268
2026-09-20T01:04:35Z,123184772,EA Sports FC 27,408819,82854,1560
2026-09-20T01:04:35Z,21779,League of Legends,115,59906,2177
2026-09-20T01:04:35Z,33214,Fortnite,1905,49450,5143
2026-09-20T01:04:35Z,516575,VALORANT,126459,42301,2597
2026-09-20T01:04:35Z,509672,IRL,,39275,589
2026-09-20T01:04:35Z,1264310518,Marvel Rivals,294041,35696,2082
2026-09-20T01:04:35Z,27471,Minecraft,135400,33457,2998
2026-09-20T01:04:35Z,29452,Virtual Casino,45517,33561,29
2026-09-20T01:04:35Z,26936,Music,,29827,524
2026-09-20T01:04:35Z,508455,Valheim,104967,26653,927
2026-09-20T01:04:35Z,498566,Slots,,24998,102
2026-09-20T01:04:35Z,491487,Dead by Daylight,18866,21378,1916
2026-09-20T01:04:35Z,1267582829,Aniimo,348202,22620,1619
2026-09-20T01:04:35Z,32399,Counter-Strike,,22026,1156
2026-09-20T01:04:35Z,499973,Always On,,22288,443
2026-09-20T01:04:35Z,515025,Overwatch,125174,19712,1700
2026-09-20T01:04:35Z,29595,Dota 2,,19460,687
2026-09-20T01:04:35Z,512953,ELDEN RING,119133,15983,468
2026-09-20T01:04:35Z,512710,Call of Duty: Warzone,131800,14757,2055
2026-09-20T01:04:35Z,511224,Apex Legends,114795,14121,1823
2026-09-20T01:04:35Z,30921,Rocket League,11198,13985,1119
2026-09-20T01:04:35Z,509663,Special Events,,13615,195
2026-09-20T01:04:35Z,75101830,Marvel's Wolverine,168667,12291,1515
2026-09-20T01:04:35Z,509659,ASMR,,12974,150
2026-09-20T01:04:35Z,513143,Teamfight Tactics,120176,12744,159
2026-09-20T01:04:35Z,515024,Diablo IV,125165,11059,462
2026-09-20T01:04:35Z,19619,Tibia,9596,10406,551
2026-09-20T01:04:35Z,779192097,Fire Emblem: Fortune's Weave,366896,10242,497
2026-09-20T01:04:35Z,602040818,NBA 2K27,408823,9774,2273
2026-09-20T01:04:35Z,1413930024,Active Matter,322158,10255,144
2026-09-20T01:04:35Z,518203,Sports,,9191,137
2026-09-20T01:04:35Z,493057,PUBG: BATTLEGROUNDS,27789,9257,564
2026-09-20T01:04:35Z,401587136,Arena Breakout: Infinite,298915,8873,321
2026-09-20T01:04:35Z,350287257,Last Pirates: Die Together,397402,8202,10
2026-09-20T01:04:35Z,509660,Art,,8000,518
2026-09-20T01:04:35Z,27284,Retro,,8050,351
2026-09-20T01:04:35Z,460630,Rainbow Six Siege,7360,7965,1837
2026-09-20T01:04:35Z,11557,The Legend of Zelda: Ocarina of Time,1029,7594,129
2026-09-20T01:04:35Z,491931,Escape from Tarkov,15536,7873,440
2026-09-20T01:04:35Z,1669431183,DJs,,7497,276
2026-09-20T01:04:35Z,23020,ROBLOX,17269,6464,2452
2026-09-20T01:04:35Z,902998079,Halloween: The Game,362096,6142,791
2026-09-20T01:04:35Z,498592,I'm Only Sleeping,71001,6821,153
2026-09-20T01:04:35Z,15631,Grand Theft Auto: Vice City,733,308,11
2026-09-20T01:04:35Z,499003,VRChat,33615,5925,188
2026-09-20T01:04:35Z,464339927,ARC Raiders,185258,5256,678
2026-09-20T01:04:35Z,417528,Albion Online,19698,5323,126
2026-09-20T01:04:35Z,263490,Rust,3277,5428,334
2026-09-20T01:04:35Z,490377,Sea of Thieves,11137,5430,271
2026-09-20T01:04:35Z,2132205352,Deadlock,301298,5294,435
